BUSINESS NAME,BUSINESS OPEN DATE,BUSINESS STATUS,BUSINESS CLOSE DATE,NAICS CODE,NAICS CATEGORY,NAICS GROUP,FULL STREET NAME,CITY,STATE,LATITUDE,LONGITUDE
HARDWARE STUDIO LLC,12/01/2020,O,,444000,Building Material & Garden Equip & Supplies Dealer,RETAIL TRADE (G),PERKINS RD E,BATON ROUGE,LA,-91.022990315425,30.34764735661
CONNIE'S CAKE COLLECTION LLC,04/17/2023,O,,311000,Food Manufacturing,MANUFACTURING (D),BRITISH LN,BATON ROUGE,LA,-91.043210383604,30.349897977642
PHONE WIRELESS INC,04/06/2023,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),PLANK RD,BATON ROUGE,LA,-91.15609909144,30.492004777889
RED GIANT FOOD LLC,04/10/2023,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),GEORGE O'NEAL RD,BATON ROUGE,LA,-91.01416362309,30.407900159056
LEGACY AUTO LLC,11/17/2023,O,,441000,Motor Vehicle & Parts Dealer,RETAIL TRADE (G),AIRLINE HWY,BATON ROUGE,LA,-91.048594992137,30.391413206066
SARKO ORIENTAL RUGS INC,04/13/1998,O,,442000,Furniture & Home Furnishing Stores,RETAIL TRADE (G),GOVERNMENT ST,BATON ROUGE,LA,-91.144445280274,30.444674138529
BREAUX PERFORMANCE GROUP LLC,01/05/2021,O,,488000,Miscellaneous Transportation,TRANSPORTATION & WAREHOUSING (E),ALCO AVE,BATON ROUGE,LA,-91.061059643315,30.409851135372
H&S COMMERCIAL & INDUSTRIAL SUPPLIES&SERVICES LLC,04/14/2023,O,,561000,Administrative & Support Services,ADMINISTRATIVE & SUPPORT SERVICES (I),WESTFORK DR,BATON ROUGE,LA,-91.054104695197,30.422986349911
IT'SUGAR LLC,04/27/2023,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),BLUEBONNET BLVD,BATON ROUGE,LA,-91.087349269923,30.389744745455
WALK-ONS BISTREAUX & BAR LLC,09/09/2003,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),BURBANK DR,BATON ROUGE,LA,-91.181014776212,30.402511289085
H & CO LLC,03/01/2016,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),JEFFERSON HWY,BATON ROUGE,LA,-91.001034144766,30.362390342729
FECIT ANTIQUES & ESTATES LLC,08/26/2021,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),HIGHLAND RD,BATON ROUGE,LA,-91.144768901317,30.382162881322
DIORITE LLP,10/01/2021,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),PLANK RD,BATON ROUGE,LA,-91.156081289459,30.49054422612
KELLY MARGARET MURRAY,01/10/2022,O,,621000,Ambulatory Health Care Services,HEALTH CARE & SOCIAL ASSISTANCE (I),THIBODEAUX AVE,BATON ROUGE,LA,-91.113371158815,30.434729622578
ARA CHANAKIAN LLC,01/11/2022,O,,423000,"Merchant Wholesalers, Durable Goods",WHOLESALE TRADE (F),LOBDELL AVE,BATON ROUGE,LA,-91.111232376501,30.443900269052
ARIELS PROMISE,03/01/2023,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),CORPORATE BLVD,BATON ROUGE,LA,-91.110870118598,30.431455492498
CDHUMMEL ART LLC,10/01/2022,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),KENILWORTH PKWY,BATON ROUGE,LA,-91.132710931488,30.385560155645
J F WHOLESALE LLC,04/11/2023,O,,423000,"Merchant Wholesalers, Durable Goods",WHOLESALE TRADE (F),PARKCREST CT,BATON ROUGE,LA,-91.046508034374,30.395658508579
NS INVESTMENT LLC,04/11/2023,O,,423000,"Merchant Wholesalers, Durable Goods",WHOLESALE TRADE (F),PARKCREST CT,BATON ROUGE,LA,-91.046508034374,30.395658508579
IMMUNO TEK BIO CENTERS LLC,05/02/2023,O,,621000,Ambulatory Health Care Services,HEALTH CARE & SOCIAL ASSISTANCE (I),FLORIDA BLVD,BATON ROUGE,LA,-91.125488578246,30.450657354043
LOUISIANA STEAKHOUSE LLC,10/01/1997,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),CORPORATE BLVD,BATON ROUGE,LA,-91.136012007311,30.423955792536
SEITZ ENT INC,11/29/2010,C,07/15/2023,811000,Repair & Maintenance,OTHER SERVICES (I),MARKET ST,BATON ROUGE,LA,-91.017585188422,30.406381910226
WT CONSTRUCTION INC,09/19/2001,O,,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),AMBER DR,BATON ROUGE,LA,-91.031595539968,30.364637733604
FAMILY DOLLAR STORES OF LA INC,07/03/2003,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),AIRLINE HWY,BATON ROUGE,LA,-91.125854987461,30.493857941552
PINK PALACE MEDIA LLC,02/25/2016,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),BUTTER CREEK LN,BATON ROUGE,LA,-91.09902716924,30.397151748874
NEW CINGULAR WIRELESS PCS LLC,09/20/2019,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),BLUEBONNET BLVD,BATON ROUGE,LA,-91.087580331197,30.38887693489
NEW CINGULAR WIRELESS PCS LLC,09/20/2019,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),ARLINGTON CREEK CENTRE BLVD,BATON ROUGE,LA,-91.163106704905,30.390722197093
NEW CINGULAR WIRELESS PCS LLC,09/20/2019,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),CORPORATE BLVD,BATON ROUGE,LA,-91.110870118598,30.431455492498
NEW CINGULAR WIRELESS PCS LLC,09/20/2019,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),VILLAGE MARKET ST,BATON ROUGE,LA,-91.012600812454,30.362188584555
NEW CINGULAR WIRELESS PCS LLC,09/20/2019,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),N 6TH ST,BATON ROUGE,LA,-91.184937711113,30.449606942166
NEW CINGULAR WIRELESS PCS LLC,09/20/2019,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),PERKINS RD,BATON ROUGE,LA,-91.152165802564,30.421826720007
NEW CINGULAR WIRELESS PCS LLC,09/20/2019,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),S SHERWOOD FOREST BLVD,BATON ROUGE,LA,-91.05125012652,30.424671797096
NEW CINGULAR WIRELESS PCS LLC,09/20/2019,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),COURSEY BLVD,BATON ROUGE,LA,-91.02009125024,30.409321545854
NEW CINGULAR WIRELESS PCS LLC,09/20/2019,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),PERKINS RD,BATON ROUGE,LA,-91.075483760972,30.368903013171
NEW CINGULAR WIRELESS PCS LLC,09/20/2019,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),SIEGEN LN,BATON ROUGE,LA,-91.063161554998,30.388155486004
NEW CINGULAR WIRELESS PCS LLC,05/01/2020,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),BLUEBONNET BLVD,BATON ROUGE,LA,-91.087580331197,30.38887693489
NEW CINGULAR WIRELESS PCS LLC,05/01/2020,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),ARLINGTON CREEK CENTRE BLVD,BATON ROUGE,LA,-91.163106704905,30.390722197093
NEW CINGULAR WIRELESS PCS LLC,05/01/2020,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),CORPORATE BLVD,BATON ROUGE,LA,-91.110870118598,30.431455492498
NEW CINGULAR WIRELESS PCS LLC,05/01/2020,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),VILLAGE MARKET ST,BATON ROUGE,LA,-91.012600812454,30.362188584555
NEW CINGULAR WIRELESS PCS LLC,05/01/2020,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),N 6TH ST,BATON ROUGE,LA,-91.184937711113,30.449606942166
NEW CINGULAR WIRELESS PCS LLC,05/01/2020,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),PERKINS RD,BATON ROUGE,LA,-91.152165802564,30.421826720007
NEW CINGULAR WIRELESS PCS LLC,05/01/2020,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),S SHERWOOD FOREST BLVD,BATON ROUGE,LA,-91.05125012652,30.424671797096
NEW CINGULAR WIRELESS PCS LLC,05/01/2020,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),COURSEY BLVD,BATON ROUGE,LA,-91.02009125024,30.409321545854
NEW CINGULAR WIRELESS PCS LLC,05/01/2020,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),PERKINS RD,BATON ROUGE,LA,-91.075483760972,30.368903013171
NEW CINGULAR WIRELESS PCS LLC,05/01/2020,C,01/19/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),SIEGEN LN,BATON ROUGE,LA,-91.063161554998,30.388155486004
COLES CONFECTIONS LLC,01/06/2020,O,,454000,Nonstore Retailers,RETAIL TRADE (G),PARK ROWE AVE,BATON ROUGE,LA,-91.092334632476,30.379535202344
CSC INVESTMENTS LLC OF TENNESSEE,08/13/2018,C,06/27/2023,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),JEFFERSON HWY,BATON ROUGE,LA,-91.106136438192,30.427283002157
CSC INVESTMENTS LLC OF TENNESSEE,08/13/2018,C,06/27/2023,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),HENNESSY BLVD,BATON ROUGE,LA,-91.106906495776,30.403484085181
TRINITY PLUMBING REPAIR LLC,01/01/2021,O,,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),EXCHEQUER DR,BATON ROUGE,LA,-91.048623718045,30.38330563877
GENOA HEALTHCARE LLC,01/17/2023,O,,446000,Health & Personal Care Stores,RETAIL TRADE (G),HOWELL BLVD,BATON ROUGE,LA,-91.156688986603,30.518717242767
ANDREA L DALTON,11/20/2023,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),JULIA ST,BATON ROUGE,LA,-91.182731706524,30.437357997088
NOLA BOTANICAL TEA LLC,04/25/2023,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),HIGHLAND RD,BATON ROUGE,LA,-91.173851864909,30.405254374947
HAHN INVESTIGATIVE SERVICES INC,09/01/1990,C,06/30/2022,815000,Miscellaneous Other Services,OTHER SERVICES (I),VERDUN DR,BATON ROUGE,LA,-91.089247924507,30.36383086757
DENNY CURRIER,11/18/1991,C,09/30/2022,424000,"Merchant Wholesalers, Nondurable Goods",WHOLESALE TRADE (F),CHERRY HILL AVE,BATON ROUGE,LA,-91.063107269603,30.413589374797
O L O L AUXILIARY GIFT SHOP,05/10/1953,C,02/15/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),HENNESSY BLVD,BATON ROUGE,LA,-91.106906495776,30.403484085181
MAGNOLIA WOOD CO INC,06/01/1965,O,,713000,"Amusement, Gambling & Recreation Industries","ARTS, ENTERTAINMENT & RECREATION (I)",MAGNOLIA WOOD AVE,BATON ROUGE,LA,-91.117272150092,30.388244249313
AIRTROL INC,09/01/1960,C,12/31/2022,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),NORTH ST,BATON ROUGE,LA,-91.149442397416,30.453453562855
BARKERS ANTIQUE JEWELRY INC,02/01/1985,C,12/31/2022,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),JEFFERSON HWY,BATON ROUGE,LA,-91.109026524427,30.432185413423
PEDIATRIC CARDIOLOGY ASSOC OF LA INC,07/01/1996,C,08/01/2022,621000,Ambulatory Health Care Services,HEALTH CARE & SOCIAL ASSISTANCE (I),HENNESSY BLVD,BATON ROUGE,LA,-91.108639889106,30.404220482625
DENNIS S FITZGERALD,01/01/1994,C,03/31/2023,541000,"Professional, Scientific & Technical Services","PROFESSIONAL, SCIENTIFIC & TECHNICAL SERV",JUSTICE AVE,BATON ROUGE,LA,-91.050030420894,30.423949245441
FACILITY AUTOMATION INC,06/01/1996,O,,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),S CHOCTAW DR,BATON ROUGE,LA,-91.046843468164,30.472373713432
C & S SAFETY SYSTEMS OF LA LLC,02/01/2002,C,12/13/2022,454000,Nonstore Retailers,RETAIL TRADE (G),CEDAR PARK AVE,BATON ROUGE,LA,-91.052776835839,30.389305812573
BOWLERS PRO SHOP  LLC,10/15/2005,C,12/31/2022,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),FLORIDA BLVD,BATON ROUGE,LA,-91.092824868657,30.452255159432
CINDY TAYLOR,11/14/2006,C,12/31/2022,454000,Nonstore Retailers,RETAIL TRADE (G),W TAMS DR,BATON ROUGE,LA,-91.078226315995,30.468607282517
HOMEKEY REAL ESTATE GROUP LLC,11/01/2006,C,08/01/2022,531000,Real Estate,FINANCE & INSURANCE,S SHERWOOD FOREST BLVD,BATON ROUGE,LA,-91.051082485727,30.423355991575
TITLEPLUS LLC,08/01/2006,C,04/11/2022,815000,Miscellaneous Other Services,OTHER SERVICES (I),BLUEBONNET BLVD,BATON ROUGE,LA,-91.080049506978,30.40699036775
TITLEPLUS LLC,08/01/2006,C,04/11/2022,815000,Miscellaneous Other Services,OTHER SERVICES (I),FLORIDA BLVD,BATON ROUGE,LA,-91.113814630467,30.454013813026
THE CHILDRENS PLACE INC,11/18/2006,C,01/28/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),CORPORATE BLVD,BATON ROUGE,LA,-91.113548359945,30.432066931153
WESLEY P ALLEN,04/22/2010,C,02/28/2022,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),TOWN SOUTH AVE,BATON ROUGE,LA,-91.113404513761,30.391108529395
CONSTRUCTION TECHNOLOGIES LLC,08/02/2007,C,09/30/2022,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),ELLIOT RD,BATON ROUGE,LA,-90.98984143394,30.3694278292
NICK JOHNSON,01/01/2008,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),FLORIDA BLVD,BATON ROUGE,LA,-91.145784578197,30.450319206066
AGUILAR CONSULTANTS LLC,12/01/2011,O,,531000,Real Estate,FINANCE & INSURANCE,INNOVATION PARK DR,BATON ROUGE,LA,-91.134611895606,30.358633907355
CAJUN COOLERS LLC,02/16/2012,C,12/31/2021,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),DIVIDEND DR,BATON ROUGE,LA,-91.013872165557,30.381460471674
SHOETREND PLANK INC,02/01/2012,C,10/31/2022,815000,Miscellaneous Other Services,OTHER SERVICES (I),PLANK RD,BATON ROUGE,LA,-91.155958172755,30.495524138024
M JANICE VILLARRUBIA LLC,01/02/2009,O,,541000,"Professional, Scientific & Technical Services","PROFESSIONAL, SCIENTIFIC & TECHNICAL SERV",SAINT CHARLES ST,BATON ROUGE,LA,-91.185621706456,30.444114270816
FALSE ACCUSATION MOTORSPORTS LLC,03/05/2013,C,12/31/2016,441000,Motor Vehicle & Parts Dealer,RETAIL TRADE (G),ADAMS AVE,BATON ROUGE,LA,-91.141173830606,30.469626834253
COASTAL URGENT CARE LLC,09/15/2014,O,,621000,Ambulatory Health Care Services,HEALTH CARE & SOCIAL ASSISTANCE (I),BLUEBONNET BLVD,BATON ROUGE,LA,-91.109193333276,30.357492728375
BAKED RED TRACK OPERATORS LLC,02/23/2015,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),W CHIMES ST,BATON ROUGE,LA,-91.17716027353,30.417386119541
FLUKE USA LLC,10/21/2016,C,02/15/2020,423000,"Merchant Wholesalers, Durable Goods",WHOLESALE TRADE (F),PECAN MEADOW DR,BATON ROUGE,LA,-91.047662707389,30.350290526477
ECOLITE INTERNATIONAL LLC,08/04/2015,O,,423000,"Merchant Wholesalers, Durable Goods",WHOLESALE TRADE (F),WRENWOOD BLVD,BATON ROUGE,LA,-91.100515042724,30.422397045672
KELSEY LIVINGSTON ART LLC,08/01/2017,C,03/29/2023,454000,Nonstore Retailers,RETAIL TRADE (G),MOREL AVE,BATON ROUGE,LA,-91.00104367256,30.382407971515
BATON ROUGE YOUTH COALITION,01/01/2018,C,01/01/2018,611000,Educational Services,EDUCATIONAL SERVICES (I),NORTH ST,BATON ROUGE,LA,-91.184473760897,30.452765533549
BATON ROUGE YOUTH COALITION,01/01/2018,C,01/01/2018,611000,Educational Services,EDUCATIONAL SERVICES (I),N 11TH ST,BATON ROUGE,LA,-91.178591873512,30.451547564548
BATON ROUGE YOUTH COALITION,01/01/2018,C,01/01/2018,611000,Educational Services,EDUCATIONAL SERVICES (I),NORTH ST,BATON ROUGE,LA,-91.184473760897,30.452765533549
BATON ROUGE YOUTH COALITION,01/01/2018,C,01/01/2018,611000,Educational Services,EDUCATIONAL SERVICES (I),N 11TH ST,BATON ROUGE,LA,-91.178591873512,30.451547564548
URBAN LUSH LLC,07/01/2019,C,03/31/2020,454100,Internet Sales Only,RETAIL TRADE (G),HIDDEN GARDEN AVE,BATON ROUGE,LA,-91.14449852577,30.52014507057
URBAN LUSH LLC,07/01/2019,C,03/31/2020,454100,Internet Sales Only,RETAIL TRADE (G),HIDDEN GARDEN AVE,BATON ROUGE,LA,-91.14449852577,30.52014507057
BITE AND BOOZE LLC,09/01/2019,C,12/31/2022,711000,"Performing Arts, Spectator Sports & Related Industries","ARTS, ENTERTAINMENT & RECREATION (I)",GOVERNMENT ST,BATON ROUGE,LA,-91.180975425038,30.443831396328
YELLOW-ICE ENTERTAINMENT LLC,08/01/2020,O,,512000,Motion Picture & Sound Recording Industries,SERVICES,MAIN ST,BATON ROUGE,LA,-91.181969223609,30.451499586205
KAYLEE'S SNACK SHOP,08/05/2020,C,08/05/2020,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),THOMAS H DELPIT DR,BATON ROUGE,LA,-91.179932451527,30.43621402933
CREFASI ACCOUNTING SVCS LLC,12/01/2020,O,,541000,"Professional, Scientific & Technical Services","PROFESSIONAL, SCIENTIFIC & TECHNICAL SERV",MULBERRY HILL AVE,BATON ROUGE,LA,-91.046231485335,30.410906555369
COMPASSION DESIGN LLC,06/01/2020,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),SEDONA PINES DR,BATON ROUGE,LA,-91.009251619612,30.457490223769
ALLIED GATEWAY OF LOUISIANA LLC,02/01/2021,C,12/20/2021,623000,Nursing & Residential Care Facilities,HEALTH CARE & SOCIAL ASSISTANCE (I),BIRMINGHAM DR,BATON ROUGE,LA,-91.024790862113,30.452655547724
T BOYS LLC,04/13/2023,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),ROLLING ACRES DR,BATON ROUGE,LA,-91.137719073664,30.598041806734
MELODIE CHANCE BEARD,02/01/2021,C,12/31/2022,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),S HARRELL'S FERRY RD,BATON ROUGE,LA,-91.045008272889,30.432501011177
AV NAIL SPA CEDAR LODGE LLC,07/11/2021,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),OLEANDER ST,BATON ROUGE,LA,-91.16144377809,30.442601555213
LAFAYETTE RETAIL SOLUTIONS INC,07/01/2021,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),SOUTHFORK AVE,BATON ROUGE,LA,-91.053286746853,30.421073590812
JOSHUA KELTING,09/02/2021,C,02/28/2023,532000,Rental & Leasing Services,FINANCE & INSURANCE,WOODLAWN ACRES AVE,BATON ROUGE,LA,-91.000181534636,30.383509799972
ABBY BOUGEOIS,01/01/2022,O,,454000,Nonstore Retailers,RETAIL TRADE (G),SPRINGROSE AVE,BATON ROUGE,LA,-91.113965747212,30.343774565207
DOWN SOUTH LIGHTING LLC,07/14/2022,O,,441000,Motor Vehicle & Parts Dealer,RETAIL TRADE (G),MOBILE DR,BATON ROUGE,LA,-90.998174972049,30.40562006216
QUEEN OF SPARKLES LLC,01/01/2021,O,,448000,Clothing & Clothing Accessories Stores,RETAIL TRADE (G),MAY ST,BATON ROUGE,LA,-91.170260696749,30.422799320956
FATIMA PHILLIPS,05/25/2023,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),FLORIDA BLVD,BATON ROUGE,LA,-91.086014028773,30.45504986745
RICHARD G CREED,12/01/1995,O,,541000,"Professional, Scientific & Technical Services","PROFESSIONAL, SCIENTIFIC & TECHNICAL SERV",JEFFERSON HWY,BATON ROUGE,LA,-91.104636244055,30.424811090925
CORPORATE SECURITY CONSULTANTS OR LA INC,01/07/1988,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),MAIN ST,BATON ROUGE,LA,-91.178942105298,30.451434886629
KELLY CAFFAREL,04/01/2003,C,04/01/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),SARASOTA DR,BATON ROUGE,LA,-91.053405465241,30.485841605548
KELLY CAFFAREL,04/01/2003,C,04/01/2023,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),THEODOSIA DR,BATON ROUGE,LA,-91.083598325413,30.424761783523
PELICAN JANITORIAL LLC,08/01/2019,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),ARGOSY CT,BATON ROUGE,LA,-91.099684114834,30.42872071817
SAMUEL WILLIAMS,04/28/2021,C,12/31/2021,815000,Miscellaneous Other Services,OTHER SERVICES (I),73RD AVE,BATON ROUGE,LA,-91.170420467695,30.514853556886
THE MAPLES LLC,08/15/2021,O,,623000,Nursing & Residential Care Facilities,HEALTH CARE & SOCIAL ASSISTANCE (I),MARC ANTONY DR,BATON ROUGE,LA,-91.003647980334,30.453898715473
PEARSONS LUGGAGE AND GIFTS INC,04/14/2023,O,,448000,Clothing & Clothing Accessories Stores,RETAIL TRADE (G),FLORIDA BLVD,BATON ROUGE,LA,-91.099275398395,30.451807518679
BRITTANY ADAMS,11/14/2023,O,,454000,Nonstore Retailers,RETAIL TRADE (G),PINE HILL DR,BATON ROUGE,LA,-90.99618294692,30.405536439872
STACKS PICKLEBALL LLC,11/14/2023,O,,713000,"Amusement, Gambling & Recreation Industries","ARTS, ENTERTAINMENT & RECREATION (I)",CELTIC DR,BATON ROUGE,LA,-91.076653446131,30.418709002193
JM BR ACADIAN LLC,12/15/2023,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),PERKINS RD,BATON ROUGE,LA,-91.152632373814,30.422370000179
STREET DEMONS RTS LLC,11/21/2023,O,,441000,Motor Vehicle & Parts Dealer,RETAIL TRADE (G),PLANK RD,BATON ROUGE,LA,-91.152808779569,30.501615616167
JOSHUA TIMMEREN,11/19/2023,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),CLOUDLAND DR,BATON ROUGE,LA,-91.016510049037,30.540021090864
DMT MILLWORKS LLC,11/22/2023,O,,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),FERNBROOK AVE,BATON ROUGE,LA,-91.064259599988,30.39313584167
MARTIN L JOHNSON SERVICE CO  INC,01/01/1950,C,12/31/2022,236000,Construction of Buildings,CONSTRUCTION ( C ),SHADOW HILL DR,BATON ROUGE,LA,-90.989802505639,30.41877983552
WILLIAM GRIMLEY,02/26/1988,O,,541000,"Professional, Scientific & Technical Services","PROFESSIONAL, SCIENTIFIC & TECHNICAL SERV",SILVERSIDE DR,BATON ROUGE,LA,-91.112733989169,30.395546934527
KADAIR ADVERTISING INC,07/01/1993,C,04/17/2023,541000,"Professional, Scientific & Technical Services","PROFESSIONAL, SCIENTIFIC & TECHNICAL SERV",INTERLINE AVE,BATON ROUGE,LA,-91.08444310508,30.420901141366
JMS CONSTRUCTION LLC,11/11/2005,C,12/31/2021,236000,Construction of Buildings,CONSTRUCTION ( C ),BRAKLEY DR,BATON ROUGE,LA,-91.050404481685,30.425937738895
CHIPOLA INK LLC,04/01/2008,C,06/30/2022,448000,Clothing & Clothing Accessories Stores,RETAIL TRADE (G),S CHOCTAW DR,BATON ROUGE,LA,-91.073209671023,30.471621479247
ACCESSIBLE CACHE LLC,01/14/2013,C,03/09/2023,448000,Clothing & Clothing Accessories Stores,RETAIL TRADE (G),RHODA DR,BATON ROUGE,LA,-91.061076499113,30.411087940445
JEANNE TRICHE,11/19/2013,C,12/31/2022,815000,Miscellaneous Other Services,OTHER SERVICES (I),PRESTON AVE,BATON ROUGE,LA,-90.990037880294,30.364039517461
B W S INC,06/23/2014,C,04/28/2022,812000,Personal & Laundry Services,OTHER SERVICES (I),SIEGEN LN,BATON ROUGE,LA,-91.072916776537,30.369888012787
TOTAL RENAL CARE INC,11/01/2014,C,11/01/2022,621000,Ambulatory Health Care Services,HEALTH CARE & SOCIAL ASSISTANCE (I),FLORIDA ST,BATON ROUGE,LA,-91.158876451864,30.450003823764
DUE LE INC,05/01/2009,O,,812000,Personal & Laundry Services,OTHER SERVICES (I),SIEGEN LN,BATON ROUGE,LA,-91.065938548047,30.38542924789
DUE LE INC,05/01/2009,O,,812000,Personal & Laundry Services,OTHER SERVICES (I),PERKINS RD,BATON ROUGE,LA,-91.106857637484,30.393738191034
DUE LE INC,05/01/2009,O,,812000,Personal & Laundry Services,OTHER SERVICES (I),O'NEAL LN,BATON ROUGE,LA,-91.009720297783,30.409235173422
MICHAEL ESKRIDGE,08/17/2015,C,07/01/2020,611000,Educational Services,EDUCATIONAL SERVICES (I),GAMWICH RD,BATON ROUGE,LA,-91.067264066907,30.36371991663
FRATELLIS ITAILIAN GRILLE STEAK & SEAFOOD LLC,08/01/2016,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),WAX RD,BATON ROUGE,LA,-91.02707221864,30.543675928579
LANCLOS FLOORING LLC,04/23/2018,O,,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),INDUSTRIPLEX BLVD,BATON ROUGE,LA,-91.048772047143,30.384166149357
FRESHIE CAFE INC,09/01/2018,C,10/10/2022,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),ESSEN LN,BATON ROUGE,LA,-91.108033649751,30.396061802148
FRESHIE CAFE INC,09/01/2018,C,10/10/2022,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),ESSEN LN,BATON ROUGE,LA,-91.108002815516,30.396083545061
GEAUX PAWN LLC,01/01/2020,C,09/30/2022,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),INDUSTRIPLEX BLVD,BATON ROUGE,LA,-91.052951261596,30.38554608521
THE AMAZING GRACE CHRISTIAN BOOK & GIFT STORE,01/01/2021,C,07/01/2022,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),ALETHA DR,BATON ROUGE,LA,-91.074446259221,30.485292834227
LEE ROBINSON,05/01/2021,C,05/01/2021,454000,Nonstore Retailers,RETAIL TRADE (G),AMERICA ST,BATON ROUGE,LA,-91.182095678783,30.446201715895
LA CEIBA MARKET LLC,01/03/2023,O,,445000,Food & Beverage Stores,RETAIL TRADE (G),NICHOLSON DR,BATON ROUGE,LA,-91.187341100816,30.419494601083
OSCAR WHEELER III,04/17/2023,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),NORTH ST,BATON ROUGE,LA,-91.170460140614,30.453210623957
SAMPLER STORES INC,05/19/2023,O,,451000,"Sporting Goods, Hobby, Book & Music Stores",RETAIL TRADE (G),S MALL DR,BATON ROUGE,LA,-91.063320695851,30.374802822412
ZARA USA INC,11/02/2023,O,,448000,Clothing & Clothing Accessories Stores,RETAIL TRADE (G),BLUEBONNET BLVD,BATON ROUGE,LA,-91.087580331197,30.38887693489
